Materials,Rock Mass,Base Instability,Base Resistance,Mining Head,Instability,Resistance,Difficulty,Success,Distribution,,Instability Change,Resistance Change
"48.54% Hephaestanite, 34.21% Tungsten",7504,2.24,0%,Klein-S1,3.02,0%,Easy,Y,Great,,35%,
"35.22% Beryl, 56.01% Tungsten",8286,1.51,24%,Klein-S1,2.05,13%,Medium,Y,Not Good,,36%,-46%
"33.32% Agricium, 58.94% Titanium",9828,1.45,31%,Klein-S1,1.96,17%,Impossible -> Challenging,N,,,35%,-45%
"56.33% Beryl, 39.26% Aluminum",11377,2.21,35%,Klein-S1,2.98,19%,Impossible,N,,,35%,-46%
"42.76% Beryl, 41.58% Aluminum",2897,1.77,29%,Lancet MH1,1.59,29%,Easy,Y,Not Good,,-10%,
"37.41% Corundum, 41.43% Hephaestanite",3172,2.2,4%,Lancet MH1,1.98,4%,Easy,Y,Good,,-10%,
"37.46% Gold, 50.66% Titanium",3888,2.5,32%,Lancet MH1,2.25,32%,Easy,Y,Not Good,,-10%,
"31.51% Agricium, 30.17% Tungsten",4215,1.38,20%,Lancet MH1,1.25,20%,Easy,Y,,,-9%,
"20.51% Taranite, 55.33% Aluminum",4718,1.97,13%,Lancet MH1,1.77,13%,Easy,Y,Not Good,,-10%,
"32.14% Hephaestanite, 46.12% Tungsten",7210,1.61,0%,Lancet MH1,1.45,0%,Easy,Y,Good,,-10%,
63.98% Iron,9530,0.34,0%,Lancet MH1,0.31,0%,Medium,Y,Great,,-9%,
"35.48% Beryl, 44.44% Aluminum",10783,1.52,26%,Lancet MH1,1.37,26%,Impossible,N,,,-10%,
"59.18% Beryl, 33.52% Copper",11524,2.5,30%,Lancet MH1,2.25,30%,Impossible,N,,,-10%,
"40.26% Beryl, 39.04% Iron",11778,1.92,29%,Lancet MH1,1.73,29%,Impossible,N,,,-10%,
"36.47% Agricium, 42.36% Tungsten",14920,1.56,20%,Lancet MH1,1.4,20%,Impossible,N,,,-10%,
"29.37% Gold, 68.63% Corundum",15788,2.43,30%,Lancet MH1,2.19,30%,Impossible,N,,,-10%,
69.65% Tungsten,28887,0,0%,Lancet MH1,0,0%,Impossible,N,,,,
"31.12% Bexalite, 67.44% Tungsten",56082,2.35,20%,Lancet MH1,2.12,20%,Impossible,N,,,-10%,
